[[0, 0, 0], [5, 55, 115], [5, 42, 168], [77, 33, 145], [44, 94, 76], [8, 42, 126], [39, 75, 141], [0, 0, 0], [80, 26, 145], [92, 42, 121], [44, 85, 122], [79, 35, 34], [78, 46, 153], [58, 79, 163], [73, 94, 0], [74, 84, 155], [13, 5, 106], [88, 82, 38], [71, 0, 4], [0, 0, 0], [51, 74, 133], [55, 36, 128], [69, 73, 173], [30, 80, 85]]
[[0, 0, 0], [35, 63, 58], [84, 59, 133], [94, 88, 75], [27, 22, 155], [91, 14, 154], [26, 10, 48], [0, 0, 0], [58, 89, 135], [92, 84, 139], [92, 20, 140], [98, 66, 101], [80, 89, 166], [35, 63, 81], [29, 39, 175], [66, 34, 76], [89, 50, 79], [25, 97, 29], [87, 61, 66], [0, 0, 0], [3, 92, 52], [9, 55, 10], [100, 87, 88], [58, 56, 26]]
[[0, 0, 0], [53, 10, 133], [76, 71, 22], [14, 78, 68], [58, 18, 53], [2, 23, 16], [95, 10, 143], [0, 0, 0], [79, 67, 17], [52, 93, 50], [54, 44, 64], [45, 72, 59], [4, 11, 31], [63, 80, 77], [65, 72, 27], [10, 53, 55], [46, 76, 174], [46, 80, 20], [60, 87, 94], [0, 0, 0], [100, 82, 138], [82, 34, 10], [76, 65, 83], [33, 3, 10]]
[[0, 0, 0], [21, 10, 78], [61, 21, 117], [77, 41, 69], [95, 87, 3], [20, 66, 142], [61, 100, 5], [0, 0, 0], [14, 30, 170], [55, 97, 8], [50, 15, 96], [0, 55, 137], [37, 83, 14], [1, 68, 152], [15, 73, 111], [13, 89, 115], [35, 50, 22], [40, 55, 21], [23, 32, 18], [0, 0, 0], [12, 45, 28], [32, 58, 108], [87, 60, 130], [75, 37, 6]]
[[0, 0, 0], [77, 48, 131], [55, 6, 162], [70, 76, 71], [85, 75, 20], [26, 97, 5], [65, 24, 53], [0, 0, 0], [48, 39, 45], [77, 99, 8], [68, 80, 71], [11, 19, 15], [35, 31, 139], [15, 93, 38], [99, 42, 15], [18, 18, 7], [77, 17, 109], [76, 95, 143], [3, 56, 117], [0, 0, 0], [26, 24, 114], [75, 68, 161], [9, 1, 147], [95, 19, 103]]
[[0, 0, 0], [68, 2, 167], [50, 5, 178], [73, 60, 42], [34, 27, 138], [4, 57, 46], [63, 96, 162], [0, 0, 0], [76, 53, 88], [97, 97, 57], [17, 17, 72], [13, 97, 41], [32, 31, 32], [2, 36, 25], [68, 9, 6], [78, 94, 170], [88, 76, 157], [32, 16, 179], [65, 44, 117], [0, 0, 0], [37, 39, 124], [31, 49, 121], [89, 8, 30], [58, 40, 93]]
[[0, 0, 0], [26, 64, 46], [62, 0, 15], [32, 15, 106], [31, 21, 1], [29, 32, 50], [56, 23, 97], [0, 0, 0], [93, 85, 37], [38, 36, 91], [75, 57, 19], [33, 73, 87], [18, 58, 68], [2, 22, 62], [63, 24, 148], [59, 89, 106], [95, 21, 124], [67, 20, 158], [51, 40, 124], [0, 0, 0], [8, 59, 19], [10, 12, 180], [45, 14, 155], [47, 86, 136]]
[[0, 0, 0], [78, 67, 120], [62, 38, 4], [100, 97, 22], [93, 65, 96], [7, 83, 8], [78, 15, 12], [0, 0, 0], [64, 76, 88], [25, 61, 140], [10, 76, 153], [30, 56, 163], [52, 86, 116], [11, 32, 55], [73, 14, 79], [98, 67, 175], [84, 71, 161], [34, 34, 124], [39, 66, 13], [0, 0, 0], [64, 88, 159], [66, 88, 84], [61, 97, 24], [71, 6, 121]]
[[0, 0, 0], [77, 54, 10], [5, 31, 143], [30, 58, 6], [32, 57, 148], [74, 4, 138], [56, 66, 82], [0, 0, 0], [30, 3, 114], [34, 55, 113], [62, 46, 83], [100, 81, 80], [100, 62, 15], [55, 16, 1], [70, 73, 0], [25, 43, 116], [56, 3, 166], [97, 24, 149], [8, 17, 86], [0, 0, 0], [26, 36, 150], [82, 32, 145], [8, 18, 40], [83, 16, 76]]
[[0, 0, 0], [16, 20, 140], [99, 34, 43], [47, 53, 135], [90, 39, 80], [62, 86, 147], [81, 73, 8], [0, 0, 0], [5, 25, 43], [39, 79, 151], [54, 78, 158], [16, 96, 173], [37, 46, 74], [21, 48, 120], [63, 86, 20], [91, 15, 11], [76, 42, 132], [84, 67, 171], [25, 45, 111], [0, 0, 0], [19, 17, 30], [14, 81, 161], [21, 83, 165], [39, 57, 61]]
[[0, 0, 0], [65, 34, 38], [31, 17, 123], [44, 41, 161], [66, 67, 29], [70, 60, 10], [10, 12, 131], [0, 0, 0], [9, 8, 108], [38, 43, 139], [51, 31, 100], [68, 86, 76], [0, 48, 24], [75, 26, 1], [7, 84, 103], [98, 0, 156], [47, 87, 100], [28, 81, 15], [94, 90, 98], [0, 0, 0], [69, 67, 65], [77, 39, 40], [25, 46, 1], [32, 88, 61]]
